la_name,region,imd_2025_avg_score_rank,pct_lsoa_top10pct,postcode_districts_sample,fuel_poverty_pct_2024,region_fuel_poverty_pct,gdhi_per_head_£,score_deprivation,score_fuel_poverty,score_income_gap,clpi_score,clpi_rank,ahc_income,energy,council_tax,food,transport,residual_annual,residual_weekly,score_residual
Blackpool,North West,1,50.0,"FY1, FY2, FY3, FY4",13.9,10.6,21500,99.66216216216216,93.91891891891892,13.43211467224996,76.7,1,26519.0,1700,1482.0,3666,4586,15085.0,290.0,95.7
Stoke-on-Trent,West Midlands,10,36.0,"ST1, ST2, ST3, ST6",14.8,12.1,22000,96.62162162162164,100.0,11.41890803672089,76.2,2,27288.0,1700,1243.0,3666,4586,16093.0,309.0,61.5
Birmingham,West Midlands,7,41.0,"B6, B8, B9, B10, B11, B12, B18, B19, B20",13.8,12.1,22000,97.63513513513512,93.24324324324324,11.41890803672089,75.0,3,27826.0,1700,1383.0,3666,4586,16491.0,317.0,48.0
Sandwell,West Midlands,12,33.0,"B65, B66, B67, B68, B69, B70, B71",13.5,12.1,22000,95.94594594594594,91.2162162162162,11.41890803672089,73.6,4,27853.0,1700,1335.0,3666,4586,16566.0,319.0,45.5
Kingston upon Hull,Yorkshire/Humber,6,42.0,HU1-HU9,11.3,11.3,21800,97.97297297297295,76.35135135135135,12.224190690932517,71.1,5,27185.0,1700,1306.0,3666,4586,15927.0,306.0,67.1
Knowsley,North West,2,46.0,"L14, L26, L28, L32, L33, L34, L35, L36",10.6,10.6,21500,99.32432432432432,71.62162162162161,13.43211467224996,70.9,6,28534.0,1700,1445.0,3666,4586,17137.0,330.0,26.1
Burnley,North West,4,40.0,"BB10, BB11, BB12",10.6,10.6,21500,98.64864864864865,71.62162162162161,13.43211467224996,70.6,7,26798.0,1700,1668.0,3666,4586,15178.0,292.0,92.5
Walsall,West Midlands,18,28.0,"WS1, WS2, WS3, WS9",12.1,12.1,22000,93.91891891891892,81.75675675675676,11.41890803672089,70.3,8,28625.0,1700,1602.0,3666,4586,17071.0,328.0,28.3
Wolverhampton,West Midlands,19,28.0,"WV1, WV2, WV3, WV10, WV11",12.1,12.1,22000,93.58108108108108,81.75675675675676,11.41890803672089,70.1,9,28842.0,1700,1540.0,3666,4586,17350.0,334.0,18.9
Middlesbrough,North East,3,49.0,"TS1, TS3, TS4, TS5, TS6, TS7, TS8",9.2,9.2,19977,98.98648648648648,62.16216216216215,19.56434208407151,69.9,10,28248.0,1700,1519.0,3666,4586,16777.0,323.0,38.3
Manchester,North West,8,40.0,"M8, M9, M11, M12, M13, M14, M16, M18, M40",10.6,10.6,21500,97.2972972972973,71.62162162162161,13.43211467224996,69.9,11,29164.0,1700,1305.0,3666,4586,17907.0,344.0,0.0
Liverpool,North West,9,43.0,"L4, L5, L6, L7, L8, L11, L20, L21",10.6,10.6,21500,96.95945945945948,71.62162162162161,13.43211467224996,69.7,12,27844.0,1700,1571.0,3666,4586,16321.0,314.0,53.8
Bradford,Yorkshire/Humber,15,32.0,"BD3, BD4, BD5, BD7, BD8",11.3,11.3,21800,94.93243243243244,76.35135135135135,12.224190690932517,69.6,13,28685.0,1700,1327.0,3666,4586,17406.0,335.0,17.0
Hartlepool,North East,5,38.0,"TS24, TS25, TS26, TS27",9.2,9.2,19977,98.3108108108108,62.16216216216215,19.56434208407151,69.6,14,27936.0,1700,1527.0,3666,4586,16457.0,316.0,49.2
Blackburn with Darwen,North West,11,35.0,"BB1, BB2",10.6,10.6,21500,96.2837837837838,71.62162162162161,13.43211467224996,69.4,15,26352.0,1700,1442.0,3666,4586,14958.0,288.0,100.0
Pendle,North West,13,32.0,"BB8, BB9",10.6,10.6,21500,95.6081081081081,71.62162162162161,13.43211467224996,69.1,16,26694.0,1700,1668.0,3666,4586,15074.0,290.0,96.1
Hyndburn,North West,16,30.0,BB5,10.6,10.6,21500,94.5945945945946,71.62162162162161,13.43211467224996,68.6,17,27386.0,1700,1668.0,3666,4586,15766.0,303.0,72.6
Rochdale,North West,17,30.0,"OL11, OL12, OL16",10.6,10.6,21500,94.25675675675676,71.62162162162161,13.43211467224996,68.4,18,28765.0,1700,1507.0,3666,4586,17306.0,333.0,20.4
Oldham,North West,20,27.0,"OL1, OL4, OL8, OL9",10.6,10.6,21500,93.24324324324324,71.62162162162161,13.43211467224996,67.9,19,28399.0,1700,1508.0,3666,4586,16939.0,326.0,32.8
Nottingham,East Midlands,14,35.0,"NG3, NG5, NG6, NG7, NG8",10.4,10.4,22300,95.27027027027027,70.27027027027027,10.210984055403449,67.8,20,28360.0,1700,1656.0,3666,4586,16752.0,322.0,39.2
